       2 :        2 - primesum
    4463 :  1254198 - primesum
    4481 :  1258679
    4483 :  1263162 - primesum
    4493 :  1267655
    4507 :  1272162 - primesum
    4513 :  1276675
    4517 :  1281192 - primesum
    4519 :  1285711
    4523 :  1290234 - primesum
    4547 :  1294781
    4549 :  1299330 - primesum
    4561 :  1303891
    4567 :  1308458 - primesum
    4583 :  1313041 - primesum
    4591 :  1317632 - primesum
    4597 :  1322229
    4603 :  1326832 - primesum
    4621 :  1331453
    4637 :  1336090 - primesum
    4639 :  1340729
    4643 :  1345372 - primesum
    4649 :  1350021
    4651 :  1354672 - primesum
    4657 :  1359329 - primesum
    4663 :  1363992 - primesum
    4673 :  1368665
    4679 :  1373344 - primesum
    4691 :  1378035
    4703 :  1382738 - primesum
    4721 :  1387459
    4723 :  1392182 - primesum
    4729 :  1396911
    4733 :  1401644 - primesum
    4751 :  1406395
    4759 :  1411154 - primesum
    4783 :  1415937
    4787 :  1420724 - primesum
    4789 :  1425513
    4793 :  1430306 - primesum
    4799 :  1435105
    4801 :  1439906 - primesum
    4813 :  1444719
    4817 :  1449536 - primesum
    4831 :  1454367
    4861 :  1459228 - primesum
    4871 :  1464099
    4877 :  1468976 - primesum
    4889 :  1473865
    4903 :  1478768 - primesum
    4909 :  1483677
    4919 :  1488596 - primesum
    4931 :  1493527
    4933 :  1498460 - primesum
    4937 :  1503397
    4943 :  1508340 - primesum
    4951 :  1513291
    4957 :  1518248 - primesum
    4967 :  1523215
    4969 :  1528184 - primesum
    4973 :  1533157
    4987 :  1538144 - primesum
    4993 :  1543137
    4999 :  1548136 - primesum
    5003 :  1553139
    5009 :  1558148 - primesum
    5011 :  1563159
    5021 :  1568180 - primesum
    5023 :  1573203
    5039 :  1578242 - primesum
    5051 :  1583293 - primesum
    5059 :  1588352 - primesum
    5077 :  1593429
    5081 :  1598510 - primesum
    5087 :  1603597 - primesum
    5099 :  1608696 - primesum
    5101 :  1613797
    5107 :  1618904 - primesum
    5113 :  1624017
    5119 :  1629136 - primesum
    5147 :  1634283
    5153 :  1639436 - primesum
    5167 :  1644603
    5171 :  1649774 - primesum
    5179 :  1654953
    5189 :  1660142 - primesum
    5197 :  1665339
    5209 :  1670548 - primesum
    5227 :  1675775
    5231 :  1681006 - primesum
    5233 :  1686239 - primesum
    5237 :  1691476 - primesum
    5261 :  1696737
    5273 :  1702010 - primesum
    5279 :  1707289
    5281 :  1712570 - primesum
    5297 :  1717867
    5303 :  1723170 - primesum
    5309 :  1728479
    5323 :  1733802 - primesum
    5333 :  1739135
    5347 :  1744482 - primesum
    5351 :  1749833 - primesum
    5381 :  1755214 - primesum
    5387 :  1760601
    5393 :  1765994 - primesum
    5399 :  1771393
    5407 :  1776800 - primesum
    5413 :  1782213
    5417 :  1787630 - primesum
    5419 :  1793049
    5431 :  1798480 - primesum
    5437 :  1803917
    5441 :  1809358 - primesum
    5443 :  1814801
    5449 :  1820250 - primesum
    5471 :  1825721
    5477 :  1831198 - primesum
    5479 :  1836677
    5483 :  1842160 - primesum
    5501 :  1847661
    5503 :  1853164 - primesum
    5507 :  1858671
    5519 :  1864190 - primesum
    5521 :  1869711
    5527 :  1875238 - primesum
    5531 :  1880769
    5557 :  1886326 - primesum
    5563 :  1891889 - primesum
    5569 :  1897458 - primesum
    5573 :  1903031
    5581 :  1908612 - primesum
    5591 :  1914203
    5623 :  1919826 - primesum
    5639 :  1925465
    5641 :  1931106 - primesum
    5647 :  1936753
    5651 :  1942404 - primesum
    5653 :  1948057
    5657 :  1953714 - primesum
    5659 :  1959373
    5669 :  1965042 - primesum
    5683 :  1970725
    5689 :  1976414 - primesum
    5693 :  1982107
    5701 :  1987808 - primesum
    5711 :  1993519
    5717 :  1999236 - primesum
    5737 :  20049731999236
